Id,Load
1,44895.1036036865
2,43581.4777658822
3,37974.4494925105
4,36666.7292707081
5,44362.6979334891
6,44923.5368396575
7,44525.5490501646
8,44165.1577465845
9,43202.3814963748
10,37973.6343064128
11,36130.0731350343
12,43900.6774734664
13,44855.8673071753
14,45243.9535067397
15,46039.8797645484
16,45428.5505384807
17,36513.9517604302
18,37360.8104069345
19,44469.1950555157
20,44379.5215928362
21,43890.5498447071
22,43270.3383680037
23,42344.2368143436
24,33776.4416194463
25,34331.4972254716
26,44365.1817664859
27,47764.6246344794
28,47731.9727699276
29,47894.8425006163
30,46989.9930133015
31,40888.1699436363
32,38170.3464684956
33,43850.7787734331
34,44400.0939267925
35,43776.25434223
36,43511.2871373834
37,38852.7102580488
38,36063.9586284071
39,35098.6028124718
40,41525.1929790534
41,43736.7080798598
42,43763.5548842514
43,43588.7309041121
44,43094.2304729267
45,37923.491019765
46,35203.9260945905
47,41388.5313970022
48,40092.8592912563
49,44079.9763533642
50,44848.1322761519
51,44448.2042163836
52,39339.5896907323
53,37073.8552470888
54,43842.5052661435
55,45685.1083236226
56,45706.3395625422
57,45563.4370728322
58,44875.6396887806
59,39684.5901514321
60,37048.1055063578
61,43619.515216085
62,45291.9477429343
63,45294.7984881121
64,45148.3044669366
65,44508.4871511967
66,39277.1209321366
67,36961.3270381665
68,43454.4615349126
69,45644.7904675123
70,46113.5755681465
71,46550.745426907
72,46176.5496071903
73,40453.0502626509
74,37589.4631264653
75,44227.3657750799
76,45703.6714321735
77,45706.5681824894
78,45876.9512622415
79,45200.3496190082
80,39856.6407112545
81,37912.2141935147
82,44847.9372411993
83,46035.0745618028
84,46191.5369241158
85,46745.9081293059
86,46579.0125198248
87,40981.1548201747
88,38221.6316500752
89,44711.6998554242
90,44658.8002110615
91,41841.6895646687
92,45283.7476747655
93,45400.8528744293
94,40714.3615563036
95,38742.9942546814
96,45445.8642539464
97,46842.4660702475
98,46961.6938095934
99,46769.1686729574
100,46348.4807321415
101,40855.710131619
102,38562.4415614644
103,45437.336724681
104,46573.6633671608
105,46364.1451279782
106,46928.1828691258
107,47351.137355872
108,41687.8378928845
109,38739.3012607688
110,44086.1440603219
111,43774.4758199552
112,43527.5179458792
113,44096.716602686
114,44559.6096844505
115,40277.7765492468
116,39332.3536651124
117,46287.7169616743
118,46152.7654492117
119,45683.4893945219
120,44728.6082364324
121,43335.6940840723
122,38233.7438793537
123,36061.6195621919
124,42958.2244051708
125,43722.9614542213
126,44101.8162507111
127,44841.6167798601
128,44795.6485158335
129,39690.5310969403
130,37594.1359610058
131,43714.7713548163
132,45078.2004568362
133,45424.8346602735
134,45559.9107259229
135,44928.6469807193
136,39855.1540896868
137,37081.6896704471
138,43805.3510783951
139,45493.0069946493
140,45519.8735779703
141,45348.648777577
142,45251.6014971314
143,40291.5698671869
144,37657.1798788051
145,44228.240720753
146,45718.7142602209
147,45922.9173494517
148,45964.3627629051
149,45472.0137737736
150,40337.1193655478
151,38092.6732327716
152,45265.5373991498
153,46989.2453316727
154,47203.6058804306
155,47216.4174710451
156,46050.9298725285
157,40640.8505315776
158,38353.8779227612
159,44507.9942784304
160,45885.6863865625
161,45642.9132491422
162,45948.4764961528
163,47135.1022420482
164,43436.9833911659
165,42167.4730914634
166,49731.8615713634
167,50497.057486825
168,49497.8663287418
169,49105.4295925236
170,49344.1824780237
171,45745.3703277679
172,43688.4725113315
173,50938.0578896858
174,52008.4482978897
175,51498.6597679895
176,50205.4405753294
177,49434.8095213264
178,44926.4511981757
179,43953.584205931
180,52762.7634621651
181,55277.6549825907
182,56256.0308008993
183,57025.0420836509
184,57234.0637838051
185,52073.1412226863
186,48755.6081716344
187,55074.1603294704
188,54374.3435935037
189,52431.4176788483
190,50357.5452502806
191,49646.6241313109
192,44888.3688062591
193,43499.2462947133
194,53028.3532959202
195,55041.9109486245
196,55218.756922743
197,53700.828035582
198,52172.7911670913
199,46149.3383198334
200,43034.6383693225
201,50046.3667929323
202,52508.6554236403
203,56414.018424572
204,58539.5161264145
205,56990.3636611067
206,49705.6851924036
207,45423.4230831202
208,51554.6447864916
209,52519.0401457393
210,53097.411396772
211,49982.4625398502
212,52155.8770862362
213,47042.7586593273
214,44110.6316165268
215,53228.4434492731
216,55531.4814572707
217,55666.5482052256
218,56407.9993368821
219,58792.1327065885
220,57512.1935010547
221,56255.6074558264
222,63675.3481300005
223,64889.3630546201
224,63627.9929853495
225,62528.0362102663
226,60909.1800656837
227,55757.4291748136
228,55301.7204932486
229,66711.9388326715
230,68735.2833346018
231,68919.6665136416
232,68554.2426971519
233,68311.4460769461
234,64340.7155064933
235,63394.3540951991
236,71541.5953270947
237,72911.4540407711
238,72533.3059934974
239,72287.5051488291
240,68299.3318734759
241,61625.0110266152
242,57787.818771351
243,64349.5724078448
244,63924.8250465861
245,62939.521900571
246,62966.5126189822
247,61908.3538778198
248,55556.5037881658
249,53092.6997727565
250,59797.8732178941
251,59296.8257945078
252,56324.9617745773
253,58156.0653449315
254,61482.1889335872
255,57930.769295707
256,61513.0905197168
257,69833.7728437315
258,67978.053950766
259,68092.9147289021
260,68564.373569761
261,69372.215855234
262,64025.5832364656
263,67915.692232413
264,76393.9866575142
265,78254.7397211021
266,79024.3518387049
267,79567.6271439314
268,79937.6820336078
269,75142.4202430471
270,73629.0318589421
271,81092.7940229449
272,78299.9677378824
273,73591.4648180933
274,69661.301392147
275,70592.8573429316
