Id,Load
1,41184.055913963
2,40259.3810914122
3,40781.5855302356
4,43399.5866564411
5,43337.0362862325
6,43032.9782375351
7,43588.5285240039
8,41349.0433347092
9,39965.8661206662
10,40813.9476071242
11,42124.0299016612
12,41985.795560822
13,42781.8326004446
14,43383.7129786543
15,43663.92405828
16,42917.8749639493
17,42484.9288098259
18,41632.710980412
19,40124.4426015247
20,40659.8213051314
21,41952.0746426705
22,41956.4633242219
23,39945.1053518473
24,40791.8532814434
25,41411.3810671026
26,41537.0301178482
27,44319.2134982391
28,44337.1043481358
29,44036.1606867627
30,44882.5170410279
31,43967.0813900195
32,42267.3606410169
33,41518.213627957
34,43793.881788388
35,44662.6543761835
36,44643.3499205769
37,44213.8363594105
38,38252.3766215322
39,41671.9285958897
40,41978.0818741181
41,40711.1897075284
42,40635.0079587992
43,41215.3556126368
44,40268.9102861538
45,41333.3546509314
46,43494.5479594314
47,41640.4650681331
48,41286.9061211628
49,41020.8442105558
50,40308.0431697136
51,41950.1463403775
52,41731.8423541182
53,44062.9366102102
54,43041.2367982907
55,42662.7274934611
56,43898.3953402181
57,43787.1129382203
58,42900.6601840051
59,40862.009930429
60,41328.181547668
61,41888.587461519
62,43418.8532657559
63,44270.2501417977
64,44188.5899251969
65,43402.6547897278
66,40554.2142165096
67,41292.2896599373
68,42387.4786688054
69,43514.8736498706
70,46034.5323979355
71,46574.596462328
72,44211.5554466682
73,41088.65828996
74,41221.9124235251
75,42593.4971004182
76,44441.0082309315
77,45815.7497617394
78,46650.1462964332
79,45637.7945978008
80,40808.1096073067
81,40437.799823791
82,42711.2427545344
83,44886.5525088472
84,45712.6556481511
85,46452.9616893257
86,44990.6816185705
87,41295.9466347303
88,39858.7808389842
89,43406.6849997135
90,44489.0320048115
91,44824.5451674245
92,46639.2722779616
93,46367.584331795
94,41036.4195012894
95,40062.0354901638
96,40908.4309119728
97,41072.4296847614
98,45356.6026677441
99,46499.7792673552
100,46294.3683597392
101,41006.4697619869
102,39705.3828413511
103,44620.8604157409
104,45726.9907314311
105,46165.9424026593
106,49221.9288339443
107,51281.44863022
108,42213.1510147374
109,39463.9910660638
110,44205.7489382265
111,44284.1302977999
112,44020.2745141151
113,46554.5698845589
114,49340.7533551837
115,44434.9446380456
116,45168.1970930611
117,43574.5802908563
118,44344.4839653782
119,43731.6671309262
120,42042.2871182196
121,42179.9019356664
122,39608.9299257561
123,39897.8252287257
124,42339.4323165449
125,42381.1096203582
126,42263.6030787679
127,43522.4725237039
128,42321.7938999768
129,40652.5076952259
130,41405.2375687261
131,40447.5113854702
132,40454.1821220994
133,42101.9697407624
134,43618.5810844029
135,43702.6475771999
136,39984.3862231215
137,41125.7359163144
138,41476.7624501831
139,43484.6972909766
140,44744.415560956
141,45163.3856628871
142,44004.8102005914
143,41107.3109989153
144,40262.2307440146
145,42067.576236017
146,44461.0023212669
147,45196.0724879267
148,45718.404121194
149,45501.3659676908
150,40811.2138276985
151,40082.6245302469
152,43444.802443496
153,46155.5739625324
154,46717.5902700616
155,46843.018884229
156,45844.9582097799
157,41223.1951620929
158,40161.5389816747
159,44616.1739203848
160,46044.5905557562
161,46480.4214119053
162,45375.180126792
163,46582.9514220272
164,44303.3783567687
165,43811.1972824203
166,45296.0047674587
167,47837.0577682467
168,47094.4656504057
169,48164.6867918809
170,49299.2111012947
171,46506.2266381638
172,45033.8369629314
173,49173.2876234974
174,51167.1287888533
175,50622.9353796375
176,49377.068297502
177,49950.4866814709
178,48301.091394888
179,46749.8565826219
180,51108.1090964528
181,53930.9116200835
182,54758.0634726161
183,55252.4556318927
184,54892.4349513506
185,52004.8937922612
186,49777.2434493483
187,51668.2270897918
188,52663.5874532096
189,51458.9442472262
190,51144.588005384
191,51424.163895727
192,50430.4576131488
193,49136.1913065956
194,51540.0314384315
195,54074.6778607828
196,53328.0895560586
197,52548.2801690165
198,51591.3624291686
199,49333.4959331666
200,47110.6919275763
201,48583.262846338
202,51870.4570959428
203,56433.6550288204
204,57219.0759409005
205,54927.0480783682
206,51933.8018834844
207,47692.3480899636
208,49595.4474906537
209,52463.0947992259
210,54318.4521048028
211,53160.9631168945
212,53982.7788950074
213,51695.6524513069
214,48652.8618710921
215,50615.2240314476
216,53930.9959792983
217,52913.0083050197
218,54678.1332962666
219,57334.3421835632
220,59251.8755674204
221,57628.0262215884
222,58688.9991455767
223,61868.0580611316
224,60477.5274173645
225,59894.7926081036
226,59812.6096793255
227,58579.7907787849
228,58139.1232107618
229,64980.8613564162
230,67115.9471287621
231,67618.0162037505
232,66907.8487402406
233,66771.8776521938
234,66329.1321283037
235,65640.5969589014
236,68821.4294563178
237,71334.9139421095
238,72005.588392504
239,71166.8832189962
240,67554.6465364898
241,65025.2960583657
242,62286.6478795851
243,62870.185951024
244,64442.5147512686
245,65202.3440686578
246,64663.1495099688
247,63756.9214227093
248,59784.290705999
249,57913.9444253526
250,58430.318719872
251,58508.2455478702
252,57734.2145573782
253,58470.1469940543
254,64247.981393647
255,63578.514227873
256,63749.277853995
257,65478.3669433044
258,65590.5008462934
259,66108.8484885787
260,66541.067109585
261,69152.376616105
262,68514.4371685269
263,69013.7858812606
264,70071.7901657983
265,73481.9226893647
266,76042.5141918004
267,76584.012026861
268,77005.3544040237
269,77817.1091969127
270,74144.5737467678
271,74676.9195219199
272,78097.5166108376
273,73673.0479410636
274,69491.3256612411
275,70657.6294876977
